"ISARIC_4C_Mortality","ISARIC_4C_Deterioration","ISARIC_4C_Mortality_Prob"
4,24.1576069303212,4.80519480519481
6,12.5905214296963,7.78378378378378
15,41.5723802393432,51.6393442622951
11,48.8516558580686,26.9156159068865
9,87.7454397613819,19.1646191646192
8,63.2401629969208,14.4486692015209
18,90.6170606466138,75.8099352051836
12,41.3736321895423,32.9079307201458
8,33.5376584429475,14.4486692015209
14,80.0026813368426,44.5749440715884
3,29.7109307959478,2.31124807395994
15,69.3788387703927,51.6393442622951
12,66.9321913028243,32.9079307201458
3,15.3498993250443,2.31124807395994
5,20.8887462110634,7.47422680412371
3,8.57107568078226,2.31124807395994
12,33.5304894194549,32.9079307201458
10,64.9291487562367,22.8999464954521
4,30.2538863655866,4.80519480519481
8,53.7088502582241,14.4486692015209
13,73.0850212030892,40.1318888365521
8,33.5082416167094,14.4486692015209
10,36.9860979944881,22.8999464954521
2,21.2200855093121,0.806451612903226
3,23.5989571649959,2.31124807395994
11,24.6551011473031,26.9156159068865
14,67.588011794612,44.5749440715884
19,98.398454705443,77.3913043478261
7,53.8557707008778,11.6953762466002
10,63.7017309971128,22.8999464954521
10,48.956738118405,22.8999464954521
4,46.1117436174936,4.80519480519481
6,37.5335060183316,7.78378378378378
15,63.388220076333,51.6393442622951
10,49.5162285538785,22.8999464954521
15,87.0587017000948,51.6393442622951
13,74.3305171367631,40.1318888365521
17,82.2511130747263,66.1224489795918
17,93.111222413355,66.1224489795918
1,12.0069996875076,0.297619047619048
6,41.0738132910062,7.78378378378378
3,21.1859936654727,2.31124807395994
12,51.2011536062991,32.9079307201458
7,33.625988389276,11.6953762466002
15,81.6889778892803,51.6393442622951
17,91.7975090128251,66.1224489795918
10,22.4421519813962,22.8999464954521
14,65.3803771326372,44.5749440715884
13,55.7329734597204,40.1318888365521
13,41.4288928629961,40.1318888365521
18,83.0490537751804,75.8099352051836
9,78.9944462646782,19.1646191646192
7,30.5691654270569,11.6953762466002
6,33.316223317384,7.78378378378378
4,22.9525435013895,4.80519480519481
8,28.5082689625092,14.4486692015209
8,57.498813274661,14.4486692015209
0,13.2879822158579,NA
5,25.8932884074028,7.47422680412371
5,25.5633381355164,7.47422680412371
7,36.7996054118744,11.6953762466002
1,11.6301067064842,0.297619047619048
11,34.6862952346461,26.9156159068865
11,33.673448691268,26.9156159068865
7,67.0759971565035,11.6953762466002
8,56.7799153252606,14.4486692015209
8,45.9016282739318,14.4486692015209
6,20.5158929331557,7.78378378378378
4,33.7369616549341,4.80519480519481
5,39.3338594973331,7.47422680412371
5,37.8401076869504,7.47422680412371
5,45.7265756165396,7.47422680412371
6,36.0013070413458,7.78378378378378
12,59.9024458169155,32.9079307201458
5,41.4149442479009,7.47422680412371
9,30.8661153488088,19.1646191646192
12,43.8243439980176,32.9079307201458
13,70.2709318903565,40.1318888365521
7,38.9855075909964,11.6953762466002
5,35.9320751218278,7.47422680412371
15,59.1223094390455,51.6393442622951
15,78.6720853315358,51.6393442622951
8,40.0048392869613,14.4486692015209
4,24.2241955886796,4.80519480519481
10,47.7809919851517,22.8999464954521
3,18.9957038672383,2.31124807395994
14,64.5889811817866,44.5749440715884
12,41.3702590824206,32.9079307201458
10,52.3476339526617,22.8999464954521
10,50.8212746298647,22.8999464954521
7,55.9775527042199,11.6953762466002
7,33.8162130886541,11.6953762466002
6,29.715133453845,7.78378378378378
7,28.7526339290079,11.6953762466002
12,70.3488768178813,32.9079307201458
8,43.6141938702321,14.4486692015209
10,26.1644192975989,22.8999464954521
7,23.4544081782536,11.6953762466002
9,25.0764018193546,19.1646191646192
16,54.048622222484,59.1031390134529
6,22.0921427053109,7.78378378378378
11,53.1343483808027,26.9156159068865
6,52.9466489238511,7.78378378378378
12,67.7236087226078,32.9079307201458
5,35.881933242153,7.47422680412371
4,31.2081772988576,4.80519480519481
4,48.8629397772298,4.80519480519481
9,37.8097772655702,19.1646191646192
10,42.0057505231358,22.8999464954521
9,31.6525416864658,19.1646191646192
7,33.6723647950896,11.6953762466002
16,66.6304137123471,59.1031390134529
7,20.2162889526014,11.6953762466002
9,48.4056085744669,19.1646191646192
9,42.9417070050031,19.1646191646192
8,52.0480935368746,14.4486692015209
7,22.2725068345093,11.6953762466002
13,87.7967712205065,40.1318888365521
11,33.0956040733318,26.9156159068865
10,22.3663306725039,22.8999464954521
10,60.0197491125343,22.8999464954521
